cell id,cell type,column id
720575940605432492,L3,779
720575940605438398,Tm2,760
720575940605444966,Tm9,695
720575940605446590,T4d,423
720575940605453001,T4b,22
720575940605454025,Tm20,241
720575940605469286,C3,315
720575940605470310,T4c,160
720575940605477041,Tm4,593
720575940605478321,Mi1,18
720575940605479870,T3,451
720575940605480369,Tm9,538
720575940605483977,T2a,345
720575940605487974,T1,302
720575940605490790,Mi4,191
720575940605492670,T5b,193
720575940605500862,T5d,358
720575940605504446,C2,654
720575940605523145,Tm4,392
720575940605528166,T4d,not assigned
720575940605535177,T5a,771
720575940605541822,L1,64
720575940605544108,L4,619
720575940605544736,C3,703
720575940605545504,T2,462
720575940605546208,L2,555
720575940605547552,T4b,527
720575940605550112,T5c,527
720575940605550624,T4c,not assigned
720575940605553598,C3,267
720575940605559328,T5d,691
720575940605564640,T2,536
720575940605566310,T5c,339
720575940605573088,L2,65
720575940605575090,Tm21,734
720575940605581024,Mi1,750
720575940605584318,Tm4,187
720575940605586622,L3,382
720575940605592608,C3,777
720575940605597886,Tm3,151
720575940605610784,C3,42
720575940605618720,Tm21,355
720575940605621862,L1,115
720575940605622193,C2,714
720575940605633714,L1,440
720575940605634784,T1,635
720575940605640160,L5,455
720575940605648817,T3,not assigned
720575940605662142,L2,254
720575940605662688,R7,not assigned
720575940605666662,T3,277
720575940605668128,Mi1,781
720575940605671358,T3,467
720575940605671625,T4c,421
720575940605671852,Tm2,323
720575940605674249,Tm2,420
720575940605674417,T4d,126
720575940605676041,T5c,81
720575940605676972,T1,774
720575940605678270,Tm20,343
720575940605680998,Tm21,18
720575940605682022,T3,741
720575940605682720,C3,535
720575940605682976,T2a,741
720575940605686462,L3,290
720575940605686793,T5d,459
720575940605697726,Tm21,783
720575940605698494,L5,313
720575940605701036,L2,43
720575940605705318,Tm21,761
720575940605706086,Tm1,255
720575940605706430,C3,640
720575940605706686,T3,315
720575940605709740,Tm1,616
720575940605712486,T5d,594
720575940605717792,T3,328
720575940605721446,T2,488
720575940605725105,T5c,752
720575940605734944,T5c,197
720575940605735345,T2,732
720575940605738417,T5d,551
720575940605747902,L1,376
720575940605751008,T4c,80
720575940605756844,T5a,692
720575940605758752,T5d,339
720575940605758822,T2,327
720575940605759776,T2a,599
720575940605760945,T2a,767
720575940605762406,T4c,580
720575940605762528,L3,214
720575940605763040,L3,703
720575940605771040,Tm21,259
720575940605773233,T5c,115
720575940605773758,Tm21,557
720575940605774014,L1,121
720575940605775294,T3,162
720575940605776416,T2,7
720575940605776672,Tm9,453
720575940605783584,Tm9,241
720575940605783840,T3,378
720575940605786656,L4,497
720575940605787494,Tm3,252
720575940605793726,T4a,602
720575940605793894,T5b,44
720575940605796542,C3,717
720575940605799712,T2a,85
720575940605799968,Tm3,631
720575940605803744,T4a,549
720575940605806624,Mi9,255
720575940605809794,Mi4,456
720575940605811046,L4,692
720575940605816422,Tm1,39
720575940605817958,L2,153
720575940605822176,R8,458
720575940605822654,L2,491
720575940605823264,T2,480
720575940605823422,T2a,128
720575940605825452,Tm1,435
720575940605827174,L2,329
720575940605833062,T4b,610
720575940605833662,L2,333
720575940605834161,C3,39
720575940605840514,T4c,642
720575940605842878,Mi4,366
720575940605851838,Mi9,411
720575940605852192,T4a,532
720575940605853542,Tm3,not assigned
720575940605857638,L5,593
720575940605859872,Tm2,406
720575940605861310,C3,539
720575940605871974,L2,581
720575940605880497,T4c,718
720575940605883494,Tm3,425
720575940605885286,L4,68
720575940605886338,T5a,72
720575940605886385,C2,40
720575940605893408,Mi4,58
720575940605894833,C3,549
720575940605903532,T5b,39
720575940605907586,L2,141
720575940605910886,L5,233
720575940605912254,Mi4,500
720575940605913004,Tm2,6
720575940605913516,Tm2,110
720575940605914470,Tm4,503
720575940605917216,Tm3,625
720575940605919712,L5,667
720575940605922993,Tm9,463
720575940605924320,Tm20,674
720575940605931180,T5d,440
720575940605939814,T4a,578
720575940605940000,L5,422
720575940605942718,T3,637
720575940605942974,Tm4,356
720575940605948332,L1,460
720575940605952433,Tm20,70
720575940605952702,T5c,273
720575940605952945,Mi9,251
720575940605959358,Mi9,218
720575940605962370,Tm4,643
720575940605970604,L5,46
720575940605974630,C2,579
720575940605977265,T4b,196
720575940605980262,T5a,656
720575940605980337,T4c,472
720575940605986336,L4,667
720575940605996209,T5d,327
720575940605998257,C3,737
720575940605998513,T3,651
720575940606005682,Tm4,351
720575940606009446,L4,600
720575940606011570,Tm2,703
720575940606013886,L4,127
720575940606014310,T5b,708
720575940606014898,T4d,151
720575940606016288,L2,357
720575940606024294,L4,55
720575940606029746,L4,70
720575940606034092,L3,304
720575940606040492,R7,138
720575940606042814,Mi1,19
720575940606056126,T2a,604
720575940606057900,Mi1,137
720575940606058668,Tm4,401
720575940606058924,L2,400
720575940606063537,L2,376
720575940606064416,T1,86
720575940606066208,T1,376
720575940606067628,L4,726
720575940606069937,Mi4,414
720575940606071217,T4d,511
720575940606077374,T5b,280
720575940606082750,L4,440
720575940606089900,C2,461
720575940606090412,C3,461
720575940606093490,Tm9,485
720575940606095462,L3,455
720575940606095532,R7,79
720575940606095550,Tm9,153
720575940606099377,T3,327
720575940606118322,T2,360
720575940606129841,Tm3,not assigned
720575940606129854,T2a,222
720575940606158514,L3,87
720575940606159793,Tm2,444
720575940606181762,T4a,6
720575940606182246,R8,86
720575940606185602,L4,281
720575940606197961,Tm4,572
720575940606198449,T5d,280
720575940606200352,L4,170
720575940606202290,Tm4,393
720575940606208713,Tm21,687
720575940606216480,Tm4,571
720575940606236192,Tm4,13
720575940606236337,T4d,796
720575940606253489,L1,145
720575940606268081,T1,404
720575940606273056,L1,416
720575940606279782,T1,210
720575940606286001,L2,12
720575940606290121,Tm20,614
720575940606292512,Tm4,564
720575940606319206,T4d,518
720575940606333385,Mi1,21
720575940606336958,L5,161
720575940606360962,Tm1,774
720575940606363778,Mi9,236
720575940606364262,L1,619
720575940606367166,R7,754
720575940606372798,Tm4,142
720575940606382257,L4,655
720575940606395266,Tm2,590
720575940606398240,Mi1,197
720575940606399678,R8,362
720575940606401507,R8,53
720575940606406530,L1,177
720575940606407625,Tm2,518
720575940606412771,R8,498
720575940606417609,T5a,210
720575940606421257,R7,391
720575940606421536,T1,665
720575940606423840,C3,302
720575940606430310,Mi9,331
720575940606441150,Tm1,63
720575940606444930,T4a,433
720575940606447793,R7,216
720575940606450110,R7,511
720575940606454705,T3,39
720575940606466761,T5c,685
720575940606469250,L4,404
720575940606475465,Tm3,413
720575940606476478,Mi1,702
720575940606480073,T4c,773
720575940606488510,T3,351
720575940606489702,L3,538
720575940606492350,R8,742
720575940606495422,R7,681
720575940606496178,Tm3,510
720575940606499017,T5b,191
720575940606502066,Tm20,481
720575940606513342,Mi1,601
720575940606521545,T4c,221
720575940606521801,T4c,443
720575940606524337,R8,177
720575940606524802,L1,53
720575940606527922,T4b,422
720575940606534502,R7,116
720575940606534601,T5a,255
720575940606539465,T4a,713
720575940606543490,L2,383
720575940606551217,Tm9,709
720575940606552422,L1,370
720575940606553289,Tm20,589
720575940606554558,L3,654
720575940606555522,T5a,512
720575940606568126,L2,97
720575940606569406,Tm4,338
720575940606569417,T4d,210
720575940606574210,L2,728
720575940606577865,T5c,287
720575940606578110,R7,not assigned
720575940606578208,Mi9,295
720575940606584241,T1,128
720575940606586982,L3,305
720575940606592713,T5c,45
720575940606595430,Tm21,677
720575940606600638,Tm4,104
720575940606601318,R7,not assigned
720575940606601417,T5c,106
720575940606608002,L3,218
720575940606612098,T5c,117
720575940606613536,C2,789
720575940606615473,Tm4,57
720575940606622082,T5c,259
720575940606624642,T5a,659
720575940606626481,C2,253
720575940606631014,L1,46
720575940606632224,Tm2,177
720575940606640928,L2,434
720575940606642121,T4d,763
720575940606650754,C3,736
720575940606652960,Mi9,580
720575940606654386,Mi1,22
720575940606663014,Mi9,402
720575940606665564,Mi1,23
720575940606673510,C2,458
720575940606681278,T5a,474
720575940606684802,T2a,630
720575940606689713,R7,118
720575940606706366,L5,715
720575940606709449,C3,49
720575940606709890,T3,178
720575940606712497,L5,325
720575940606712777,Mi1,24
720575940606721801,Mi1,25
720575940606723164,L3,695
720575940606723430,R8,313
720575940606727042,T5a,418
720575940606727945,Tm4,314
720575940606734002,T5b,187
720575940606736830,T5a,743
720575940606737254,Tm4,35
720575940606738562,T5a,541
720575940606741682,T3,221
720575940606741771,T1,25
720575940606760284,L5,109
720575940606762418,L2,40
720575940606774146,T5d,344
720575940606775241,T1,773
720575940606778123,L2,377
720575940606782300,L2,453
720575940606786761,T4d,614
720575940606790834,Tm20,265
720575940606792113,Tm1,637
720575940606793906,Tm3,509
720575940606794673,T1,580
720575940606796489,Tm9,514
720575940606798537,L1,356
720575940606800073,T5b,503
720575940606803401,T3,337
720575940606806193,Tm3,579
720575940606806961,Tm3,262
720575940606807729,T5c,186
720575940606809009,Tm3,266
720575940606810633,Tm3,678
720575940606810889,L1,638
720575940606811657,L2,663
720575940606814897,R7,310
720575940606821250,T4a,573
720575940606821506,T5c,235
720575940606824834,Tm1,31
720575940606827697,R7,32
720575940606828465,R7,not assigned
720575940606835074,T5b,681
720575940606839218,Tm20,114
720575940606851761,Tm20,749
720575940606855177,Tm20,227
720575940606855810,T5d,590
720575940606860721,T2a,512
720575940606862978,T5d,523
720575940606864514,T5a,224
720575940606872241,C3,62
720575940606908849,Tm21,67
720575940606913154,Mi4,371
720575940606913481,T3,442
720575940606915714,Tm20,236
720575940606920578,T5c,737
720575940606926722,T5b,428
720575940606934473,T4d,135
720575940606938546,T5c,492
720575940606939010,Tm21,554
720575940606942130,T4d,768
720575940606944130,C2,532
720575940606944898,Mi1,26
720575940606947529,T4b,578
720575940606964145,T4a,145
720575940606973826,T2a,317
720575940606974386,T2a,68
720575940606978761,Mi4,237
720575940606986418,T5d,586
720575940606991817,T4d,128
720575940606996354,Tm9,419
720575940606999497,T3,344
720575940607001801,L1,739
720575940607030658,Tm21,754
720575940607032194,Tm21,41
720575940607033010,T5c,699
720575940607035314,T5b,46
720575940607039618,T4b,233
720575940607040178,T5d,684
720575940607042994,T5c,630
720575940607047810,T4d,129
720575940607060354,Tm21,87
720575940607060425,Tm1,535
720575940607063730,T4d,46
720575940607075202,Tm21,408
720575940607080931,L5,523
720575940607081161,T2a,518
720575940607090633,Tm4,698
720575940607105714,C3,687
720575940607106761,Tm3,437
720575940607111893,Tm4,704
720575940607114882,T5a,332
720575940607121794,Tm9,465
720575940607123586,Tm3,124
720575940607129218,Tm4,715
720575940607131570,T4c,273
720575940607177494,Mi4,594
720575940607179138,Mi4,83
720575940607179394,Tm21,412
720575940607180162,T1,213
